ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-335520-23-5	0000032850	2003/06/04	アメリカの地域　／合衆国の地域性			井出　義光．編	253	ｲﾖ		弘文堂	1997	313	20	2003
978-4-000029-17-9	0000032851	2003/10/04	幸運な医者			松田　道雄	498.14	ﾏﾐ		岩波書店	1998	146	20	2003
978-4-808305-05-5	0000032852	2003/02/09	おしゃべりなタンザニア			木村　映子	914.6	ｷｴ		東京新聞出版局	1995	183	20	2003
978-4-759601-48-0	0000032854	2003/05/24	自分のやりたい仕事が見つかる本			茶木　環	366	ﾁﾀ		明日香出版社	1998	199	19	2003
978-4-916052-09-4	0000032855	2003/10/04	無輸血手術　／エホバの証人の生と死			大鐘　稔彦	498.14	ｵﾄ		さいろ社	1998	235	19	2003
978-4-883040-47-6	0000032856	2003/07/08	ケ・リーコ　／虹色のラテンアメリカ			こじま　かよこ	295.509	ｺｹ		お茶の水書房	1992	119	20	2003
978-4-096806-16-6	0000032857	2003/01/07	日本の世界遺産　／三好和義写真集		写真集	三好　和義	748	ﾐ		小学館	1999	116	27	2003
978-4-487793-88-4	0000032858	2003/02/09	夜明けを待ちながら			五木　寛之	914.6	ｲﾋ		東京書籍	1998	244	20	2003
978-4-822241-30-8	0000032873	2003/01/09	社長失格　／ぼくの会社がつぶれた理由			板倉　雄一郎	916	ｲ		日経ＢＰ社	1999	370	20	2003
978-4-750310-67-1	0000032874	2003/07/10	バオバブと砂漠　／西アフリカ三国旅行記			盛　弘仁／盛　恵子	294.409	ﾓﾋ		明石書店	1998	283	20	2003
	0000032875	2003/12/20	それでも少年を罰しますか			野口　善國	327.8	ﾉﾖ		筑摩書房	1983	248	19	2003
978-4-105311-01-8	0000032877	2003/04/20	イギリス新鋭作家短篇選			柴田　元幸．訳	933	ｸ		新潮社	1995	163	20	2003
978-4-770501-62-2	0000032879	2003/10/01	知ってる？　子どもの糖尿病　／小児糖尿病患者の生活と記録			上村　悦子．著／三木　裕子．監修	493.12	ｳﾖ		径書房	1998	207	20	2003
978-4-104270-01-9	0000032880	2003/02/04	オルガニスト			山之口　洋	913.6	ﾔﾖ		新潮社	1998	279	20	2003
978-4-750310-90-9	0000032882	2003/05/24	いま伝えたい　細菌戦のはなし　／隠された歴史を照らす			森　正孝	210.75	ﾓﾏ		明石書店	1998	213	18	2003
978-4-152081-21-6	0000032899	2003/04/19	消えた少年たち			オースン・スコット・カード／小尾　芙佐．訳	933	ｶ		早川書房	1998	497	20	2003
978-4-635171-34-2	0000032900	2003/07/09	アフリカ　／豊饒と混沌の大陸　〈赤道編〉			船尾　修	294.09	ﾌｵ		山と渓谷社	1998	269	22	2003
978-4-635171-35-9	0000032901	2003/07/09	アフリカ　／豊饒と混沌の大陸　〈南部編〉			船尾　修	294.09	ﾌｵ		山と渓谷社	1998	270	22	2003
978-4-876990-70-2	0000032902	2003/07/09	アフリカはいつもハッピー			立命館大学探検部．編	294.09	ﾘ		かもがわ出版	1993	206	21	2003
978-4-277912-20-4	0000032903	2003/11/12	日曜日の遊び方　／紅茶、知って味わう　／本格派に捧げる一杯			磯淵　猛	619.8	ｲﾀ		雄鶏社	1996	150	21	2003
978-4-808306-57-1	0000032904	2003/07/11	アラブの水を飲んだ者は　／青年海外協力隊の現場から			大久保　純夫	316.828	ｵｽ		東京新聞出版局	1998	246	19	2003
978-4-250920-04-2	0000032908	2003/05/28	知っておきたい韓国・朝鮮			歴史教育者協議会．編／歴教協	221	ﾚ		青木書店	1997	253	21	2003
978-4-896120-07-3	0000032910	2003/07/08	青銅の民			藤井　正夫	296	ﾌﾏ		まろうど社	1992	271	20	2003
978-4-309201-85-6	0000032911	2003/04/28	裸のランチ			ウィリアム・バロウズ／鮎川　信夫．訳	933	ﾊﾞ		河出書房新社	1992	328	20	2003
978-4-276217-73-7	0000032912	2003/11/06	開演１分前！　／プラーシド・ドミンゴ４つの物語			ダニエル・スノウマン／蒲田　耕二．訳	767.3	ｽ		音楽之友社	1999	254	20	2003
978-4-622042-54-9	0000032915	2003/06/21	てるりん自伝			照屋　林助	289.1	ﾃﾘ		みすず書房	1998	435	20	2003
978-4-787271-02-0	0000032917	2003/08/20	アジアの奇祭			さの　昭．文／石川　武志．写真	386	ｻｱ		青弓社	1998	238	20	2003
978-4-087740-99-8	0000032920	2003/01/19	彼のアレキサンドライト			朱雀　秀美	913.6	ｽ		集英社	1994	221	20	2003
978-4-900456-63-1	0000032921	2003/10/10	家をつくることは快楽である			藤森　照信	527	ﾌﾃ		王国社	1998	219	20	2003
978-4-832702-50-9	0000032924	2003/09/21	心の家庭医学			山崎　晃資／山内　俊雄／下坂　幸三／保健同人社	490.3	ﾎ		保健同人社	1999	1215	22	2003
978-4-104222-01-8	0000032925	2003/04/09	地獄の季節			高山　文彦	916	ﾀﾌ		新潮社	1998	285	20	2003
978-4-876473-07-6	0000032927	2003/10/04	准看護婦の准ってなあに　【改訂新反】			木下　安子．監修／中島　幸恵．著	498.14	ﾅﾕ		桐書房	1995	239	19	2003
	0000032928	2003/10/11	原子力推進、市民運動のすすめ			「かえるの声」編集局．編／水口　哲．監修	539	ﾐｻ		ユートピア開発研究所	1998	466	20	2003
978-4-259545-49-9	0000032929	2003/10/04	保健婦　／「普通」を守る仕事の難しさ			荘田　智彦	498.14	ｼﾄ		家の光協会	1999	317	20	2003
978-4-885552-28-1	0000032930	2003/10/11	転換期・２１世紀への原子力政策			石川　欽也	539	ｲｷ		電力新報社	1998	279	20	2003
978-4-930986-45-0	0000032931	2003/10/11	リサイクル文明が求める原子力　／その全体像と長期展望			藤家　洋一	539	ﾌﾖ		日本電気協会新聞部	1998	240	19	2003
978-4-578129-49-3	0000032932	2003/07/07	氷の回廊　／ヒマラヤの星降る村の物語			庄司　康治	292.58	ｼｬ		文英堂	1998	223	21	2003
978-4-876992-06-5	0000032933	2003/05/28	現代韓国事情			加藤　周一／小田　実／滝沢　秀樹	221.07	ｶｼ		かもがわ出版	1995	124	21	2003
978-4-140803-93-6	0000032934	2003/05/19	真説　赤穂事件			童門　冬二	210.52	ﾄﾞﾌ		日本放送出版協会	1998	269	20	2003
978-4-794963-81-9	0000032936	2003/01/15	すぐそこの遠い場所			クラフト・エヴィング商會	913.6	ｸ		晶文社	1999	125	20	2003
978-4-759282-16-0	0000032938	2003/10/02	しっていますか？ハンセン病と人権　［一問一答］			ハンセン病と人権を考える会．編	494.83	ﾊ		解放出版社	1998	129	21	2003
978-4-480863-19-5	0000032941	2003/02/15	倒壊　／大震災で住宅ローンはどうなったか			島本　慈子	914.6	ｼﾔ		筑摩書房	1999	250	20	2003
978-4-396631-32-1	0000032942	2003/02/15	その後のシンデレラ			清水　義範	914.6	ｼﾖ		祥伝社	1998	253	20	2003
978-4-620312-79-8	0000032943	2003/04/09	モンの悲劇　／暴かれた「ケネディの戦争」の罪			竹内　正右	916	ﾀｼ		毎日新聞社	1999	244	20	2003
