9784-004319733,80949,2023/06/21,敵対的買収とアクティビスト,ﾃｷﾀｲﾃｷ ﾊﾞｲｼｭｳ ﾄ ｱｸﾃｨﾋﾞｽﾄ,,,岩波新書　新赤版　１９７３,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1973,太田 洋 著,ｵｵﾀ ﾖｳ,,325.258,ｵ,,岩波書店,2023,8 259p,18cm,1000,23021306,物言う株主「アクティビスト」とは何者か。数々のアクティビストと対峙してきたビジネス弁護士が、彼らとの攻防をふり返りながら、その実像と対応策をわかりやすく解説する。米国や欧州の例も掲載。,キギョウバイシュウ　バイシュウボウエイサク　企業買収　買収防衛策,図書費,佐藤教栄,1000,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319740,80948,2023/06/21,持続可能な発展の話　「みんなのもの」の経済学,ｼﾞｿﾞｸ ｶﾉｳ ﾅ ﾊｯﾃﾝ ﾉ ﾊﾅｼ,,,岩波新書　新赤版　１９７４,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1974,宮永 健太郎 著,ﾐﾔﾅｶﾞ ｹﾝﾀﾛｳ,,519,ﾐ,,岩波書店,2023,14 210 6p,18cm,940,23021308,あふれるごみ、とまらない温暖化、生物多様性と水の危機…。一人ひとりでは解決できない環境問題を、〈環境と経済〉の視点から解きほぐし、ＳＤＧｓへのさまざまな取り組みを意味あるものにする道を指し示す。,ジゾクカノウナカイハツ　持続可能な開発,図書費,佐藤教栄,940,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319757,80946,2023/06/21,皮革とブランド　変化するファッション倫理,ﾋｶｸ ﾄ ﾌﾞﾗﾝﾄﾞ,,,岩波新書　新赤版　１９７５,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1975,西村 祐子 著,ﾆｼﾑﾗ ﾕｳｺ,,584.7,ﾆ,,岩波書店,2023,9 194p,18cm,900,23021311,高級バッグから一点モノの財布まで、ファッションを彩る必需品である革製品。皮革文化の来歴と現在から、人々の欲望を満たすためにあらゆるものをブランディングしていく消費文化の本質を描き出す。,ヒカク　ファッション　ブランディング　皮革　ファッション　ブランディング,図書費,佐藤教栄,900,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319764,80947,2023/06/21,名画を見る眼　カラー版　１　油彩画誕生からマネまで,ﾒｲｶﾞ ｵ ﾐﾙ ﾒ  ﾕｻｲｶﾞ ﾀﾝｼﾞｮｳ ｶﾗ ﾏﾈ ﾏﾃﾞ,,,岩波新書　新赤版　１９７６,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1976,高階 秀爾 著,ﾀｶｼﾅ ｼｭｳｼﾞ,,723,ﾀ,1,岩波書店,2023,3 231p,18cm,1240,23021313,西洋絵画の本質を一歩進んで理解したい人に向けた西洋美術鑑賞の手引き。１は、ルネサンスから１９世紀までの１５点の代表的名画を取りあげ、絵画を楽しむ基本や、隠された意図・意味を探りながら解説する。,カイガ　絵画,図書費,佐藤教栄,1240,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319771,80970,2023/08/29,名画を見る眼　カラー版　２　印象派からピカソまで,ﾒｲｶﾞ ｵ ﾐﾙ ﾒ  ｲﾝｼｮｳﾊ ｶﾗ ﾋﾟｶｿ ﾏﾃﾞ,,,岩波新書　新赤版　１９７７,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1977,高階 秀爾 著,ﾀｶｼﾅ ｼｭｳｼﾞ,,723,ﾀ,2,岩波書店,2023,3 248p,18cm,1240,23025382,西洋絵画の本質を一歩進んで理解したい人に向けた西洋美術鑑賞の手引き。２は、モネ、ゴッホ、ピカソなど、印象派から抽象絵画へと続く近代の名画を取りあげ、鑑賞の基礎を日記や手紙など画家の言葉とともに解説する。,カイガ　絵画,図書費,佐藤教栄,1240,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319788,80969,2023/08/29,読み書きの日本史,ﾖﾐ ｶｷ ﾉ ﾆﾎﾝｼ,,,岩波新書　新赤版　１９７８,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1978,八鍬 友広 著,ﾔｸﾜ ﾄﾓﾋﾛ,,372.1,ﾔ,,岩波書店,2023,9 235 10p,18cm,1060,23025385,古代における漢字の受容から、往来物による学びの時代へ。近世の文字文化の多様な展開から、近代学校の成立へ。世界の事例にも目くばりしながら、識字の社会的意味を広くとらえ、今も揺らぎの中にあるリテラシーの歩みを描く。,ニホン キョウイク　コクゴキョウイク レキシ　日本 教育　国語教育 歴史,図書費,佐藤教栄,1060,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-005009657,80917,2023/06/12,１０代の悩みに効くマンガ、あります！,ｼﾞｭｳﾀﾞｲ ﾉ ﾅﾔﾐ ﾆ ｷｸ ﾏﾝｶﾞ ｱﾘﾏｽ,,,岩波ジュニア新書　９６５,ｲﾜﾅﾐｼﾞｭﾆｱｼﾝｼｮ 965,トミヤマ ユキコ 著,ﾄﾐﾔﾏ ﾕｷｺ,,159.7,ﾄ,,岩波書店,2023,12 210p,18cm,960,23012733,１０代は楽しいことも多い一方で、友達や親との関係にモヤモヤしたり、進路や将来をあれこれ考えたり、見た目やＳＮＳに神経を使ったりとけっこう大変！　そんな１０代の悩みに効く多種多様なマンガを紹介する。,ナヤミソウダン　マンガ　モノノミカタカンガエカタ　イキカタカンガエカタ　ニンゲンカンケイ　レンアイ　シンロ（ジンセイ）　セイ　なやみ相談　まんが　物の見方・考え方　生き方・考え方　人間関係　恋愛　進路（人生）　性　ジンセイクン（セイネン）　マンガ　人生訓（青年）　漫画,図書費,佐藤教栄,960,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-005009664,80918,2023/06/12,新種発見物語　足元から深海まで１１人の研究者が行く！,ｼﾝｼｭ ﾊｯｹﾝ ﾓﾉｶﾞﾀﾘ,,,岩波ジュニア新書　９６６,ｲﾜﾅﾐｼﾞｭﾆｱｼﾝｼｮ 966,島野 智之 編著　脇 司 編著,ｼﾏﾉ ｻﾄｼ ﾜｷ ﾂｶｻ,,461,ｼ,,岩波書店,2023,12 254 4p,18cm,1120,23012736,未知の生物の探究にワクワクしながら、研究者の歩みを追体験！　足元から深海、海底洞窟など遠く危険な未踏の地まで、第一線の研究者たちの情熱と喜怒哀楽を紹介。分類学の基礎も楽しく身につく入門書。,セイブツ　セイブツノブンルイ　コンチュウ　ゲンゴロウ　キンルイ　カタツムリ　ハゼ　アホウドリ　ショクブツ　ウミノセイブツ　シンカイ　ゼツメツキグシュ　生物　生物の分類　昆虫　げんごろう　菌類　かたつむり　はぜ（沙魚）　あほうどり　植物　海の生物　深海　絶滅危惧種　セイブツブンルイガク　生物分類学,図書費,佐藤教栄,1120,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-005009671,80916,2023/06/12,核のごみをどうするか　もう一つの原発問題,ｶｸ ﾉ ｺﾞﾐ ｵ ﾄﾞｳ ｽﾙ ｶ,,,岩波ジュニア新書　９６７,ｲﾜﾅﾐｼﾞｭﾆｱｼﾝｼｮ 967,今田 高俊 著　寿楽 浩太 著　中澤 高師 著,ｲﾏﾀﾞ ﾀｶﾄｼ ｼﾞｭﾗｸ ｺｳﾀ ﾅｶｻﾞﾜ ﾀｶｼ,,539.69,ｲ,,岩波書店,2023,7 226p,18cm,960,23018161,原子力発電によって生じる高レベル放射性廃棄物。放射能の影響が弱まるまでの長い年月を要するこの「核のごみ」をどのような方法で処分すればよいのか。専門家らによる提言を読み解きながら、問題解決への道を探る。,ゲンシリョクハツデン　ホウシャセイハイキブツ　原子力発電　放射性廃棄物　ホウシャセイハイキブツ　放射性廃棄物,図書費,佐藤教栄,960,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-005009688,80945,2023/06/21,扉をひらく哲学　人生の鍵は古典のなかにある,ﾄﾋﾞﾗ ｵ ﾋﾗｸ ﾃﾂｶﾞｸ,,,岩波ジュニア新書　９６８,ｲﾜﾅﾐｼﾞｭﾆｱｼﾝｼｮ 968,中島 隆博 編著　梶原 三恵子 編著　納富 信留 編著　吉水 千鶴子 編著,ﾅｶｼﾞﾏ ﾀｶﾋﾛ ｶｼﾞﾊﾗ ﾐｴｺ ﾉｳﾄﾐ ﾉﾌﾞﾙ ﾖｼﾐｽﾞ ﾁｽﾞｺ,,104,ﾄ,,岩波書店,2023,15 182 3p,18cm,900,23021317,人の意見に影響されない方法、親との関係、勉強する意味、本当の自分の見つけ方…。１１人の古典研究者が、様々な悩み・疑問に、古今東西の書物をひもときながら回答する。１０代にお勧めの古典作品も紹介する。,テツガク　ホンノショウカイ　シュウキョウ　モノノミカタカンガエカタ　イキカタカンガエカタ　オヤコカンケイ　セイトシ　哲学　本の紹介　宗教　物の見方・考え方　生き方・考え方　親子関係　生と死　テツガク　シュウキョウ　ドクショ　哲学　宗教　読書,図書費,佐藤教栄,900,新書書架,,,,,False,,,,False,,,,False,False,True,,
