ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-817037-32-9	0000049348	2016/11/17	学校では教えてくれない風景スケッチの法則 不透明水彩絵の具ガッシュを使って描く			増山 修／著	724.4	マ		日貿出版社	2009	95p	26cm	2016
978-4-863133-61-7	0000049349	2016/11/17	謎を呼ぶ大建築		ナショナルジオグラフィック	ナショナルジオグラフィック／編著	520.8	ﾅ		日経ＢＰマーケティング（発売）	2016	111p	28cm	2016
978-4-822238-53-7	0000049350	2016/11/17	海外旅行のスマホ術 ２０１６−２０１７最新版 世界中どこでも安心ネット接続！ガイドブックは必要なし		日経ＢＰムック		290.9	カ	16	日経ＢＰマーケティング（発売）	2016	130p	26cm	2016
978-4-532176-04-4	0000049351	2016/11/17	「核なき世界」の終着点 オバマ対日外交の深層			吉野 直也／著	319.5	ヨ		日本経済新聞出版社	2016	264p	20cm	2016
978-4-756247-99-5	0000049352	2016/11/17	感動と価値を売る、ストーリーのあるブランドのつくり方			ＰＩＥ　ＢＯＯＫＳ／編著	674.3	カ		パイインターナショナル	2016	141p	26cm	2016
978-4-893252-50-0	0000049353	2016/11/17	どうぞのいす			香山 美子／作 柿本 幸造／絵	913.6	ｺ		ひさかたチャイルド	198	32p	25cm	2016
978-4-834004-01-4	0000049354	2016/11/17	ことばあそびうた		日本傑作絵本シリーズ	谷川 俊太郎／詩 瀬川 康男／絵	911.5	タ		福音館書店	1973	1冊	23cm	2016
978-4-833451-01-7	0000049355	2016/11/17	７日間で突然、英語ペラペラになる本 図解			安武内 ひろし／著	837.8	ア		プレジデント社	201	199p	19cm	2016
978-4-167773-70-0	0000049356	2016/11/17	インシテミル		文春文庫 よ２９−１	米澤 穂信／著	913.6	ヨ		文芸春秋	2010	522p	16cm	2016
978-4-163905-01-3	0000049357	2016/11/18	狩りの時代			津島 佑子／著	913.6	ツ		文芸春秋	2016	285p	20cm	2016
978-4-167906-24-5	0000049358	2016/11/17	逆境を笑え 野球小僧の壁に立ち向かう方法		文春文庫 か７０−１	川崎 宗則／著	783.7	ｶ		文芸春秋	2016	251p	16cm	2016
978-4-163906-18-8	0000049359	2016/11/18	コンビニ人間			村田 沙耶香／著	913.6	ム		文芸春秋	2016	151p	20cm	2016
978-4-167906-70-2	0000049360	2016/11/18	永い言い訳		文春文庫 に２０−２	西川 美和／著	913.6	ニ		文芸春秋	2016	341p	16cm	2016
978-4-163905-14-3	0000049361	2016/11/18	「南京事件」を調査せよ ｍｉｓｓｉｏｎ　７０ｔｈ			清水 潔／著	210.7	シ		文芸春秋	2016	278p	19cm	2016
978-4-167903-88-6	0000049362	2016/11/17	無私の日本人		文春文庫 い８７−３	磯田 道史／著	281.0	イ		文芸春秋	2015	375p	16cm	2016
978-4-583109-46-6	0000049363	2016/11/17	エディー・ジョーンズ４年間の軌跡 ９・１９の奇跡は必然だった−ＪＡＰＡＮ　ＷＡＹの正体そして、岩淵健輔ＧＭが語るエディー以後の日本			斉藤 健仁／著	783.4	サ		ベースボール・マガジン社	2015	223p	19cm	2016
978-4-831514-43-1	0000049364	2016/11/18	ドッグトレーナー・犬の訓練士になるには		なるにはＢＯＯＫＳ ９１	井上 こみち／著	645.6	イ		ぺりかん社	2016	147p	19cm	2016
978-4-860644-88-8	0000049365	2016/11/17	地図化すると世の中が見えてくる 自然｜産業｜資源・エネルギー｜生活・文化｜人口			伊藤 智章／著	448.9	イ		ベレ出版	2016	131p	20cm	2016
978-4-908925-00-9	0000049366	2016/11/18	生きるために大切なこと 原典			Ａ．アドラー／著 桜田 直美／訳	140	ア		方丈社	2016	253p	19cm	2016
978-4-591146-97-2	0000049367	2016/11/17	バカヤンキーでも死ぬ気でやれば世界の名門大学で戦える。			鈴木 琢也／著	916	ス		ポプラ社	2015	331p	19cm	2016
978-4-780712-74-2	0000049368	2016/11/17	食いしんぼうカレンダー なっちゃんのおいしい１２か月		子どものしあわせ童話セレクション ２	柳沢 みの里／文 鹿又 結子／絵	913.6	ヤ		本の泉社	2016	151p	22cm	2016
978-4-875494-50-8	0000049369	2016/11/17	世界国勢図会 世界がわかるデータブック ２０１６／１７			矢野恒太記念会／編集	350.9	ｾ	16	矢野恒太記念会	2016	486p	21cm	2016
978-4-634151-05-5	0000049370	2016/11/18	レンズが撮らえた１９世紀英国			海野 弘／ほか著	233.0	レ		山川出版社	2016	174p	22cm	2016
978-4-846015-42-8	0000049371	2016/11/18	ラスベガスを創った男たち			烏賀陽 正弘／著	253.8	ｳ		論創社	2016	199p	19cm	2016
978-4-860635-56-5	0000049372	2016/12/08	夢に日付を！ 夢をかなえる手帳術 新版			渡邉 美樹／著	159	ﾜ		あさ出版	2012	238p	19cm	2016
978-4-255009-32-2	0000049373	2016/12/08	オバマ広島演説 対訳 生声ＣＤ＆電子書籍版付き		ことばの力永久保存版	オバマ／述 『ＣＮＮ　Ｅｎｇｌｉｓｈ　Ｅｘｐｒｅｓｓ』編集部／編	319.8	ｵ		朝日出版社	2016	77p	21cm	2016
978-4-022735-56-0	0000049374	2016/12/08	折れない自信をつくるシンプルな習慣		朝日新書 ４５６	心屋 仁之助／著	159	ｺ		朝日新聞出版	2014	187p	18cm	2016
978-4-006032-64-7	0000049375	2016/12/08	あたらしい憲法のはなし 他二篇		岩波現代文庫 社会 ２６４	高見 勝利／編	323.1	ｱ		岩波書店	2013	169 43p	15cm	2016
978-4-331513-46-0	0000049376	2016/12/08	感じて描く漢字アート 意味を感じ取り、筆で味わう一文字			関 紫芳／著	728.4	ｾ		広済堂あかつき株式会社出版事業部	2008	119p	26cm	2016
978-4-334786-05-2	0000049377	2016/12/08	あなたが変わるまで、わたしはあきらめない 努力する心の育て方		光文社知恵の森文庫 ｔい１０−１	井村 雅代／著 松瀬 学／著	785.2	ｲ		光文社	2012	292p	16cm	2016
978-4-087492-66-8	0000049378	2016/12/08	テニスボーイの憂鬱 下		集英社文庫	村上 竜／著	913.6	ﾑ	2	集英社	1987	267p	16cm	2016
978-4-104190-04-1	0000049379	2016/12/08	明るい夜に出かけて			佐藤 多佳子／著	913.6	ｻ		新潮社	2016	284p	20cm	2016
978-4-101157-41-2	0000049380	2016/12/08	勝負		新潮文庫 剣客商売 １１	池波 正太郎／著	913.6	ｲ		新潮社	2003	351p	16cm	2016
978-4-907435-34-9	0000049381	2016/12/08	建築する動物		ＳＰＡＣＥ　ＳＨＯＷＥＲ　ＢＯＯＫＳ	インゴ・アルント／写真 ユルゲン・タウツ／文 川岸 史／訳	481.7	ｱ		スペースシャワーネットワーク	2014	159p	26cm	2016
978-4-787220-66-0	0000049382	2016/12/08	日本まじない食図鑑 お守りを食べ、縁起を味わう			吉野 りり花／著	383.8	ﾖ		青弓社	2016	154p	21cm	2016
978-4-413044-44-8	0000049383	2016/12/08	「いい人」をやめるだけで免疫力が上がる！		青春新書ＩＮＴＥＬＬＩＧＥＮＣＥ ＰＩ−４４４	藤田 紘一郎／著	498.3	ﾌ		青春出版社	2015	189p	18cm	2016
978-4-415222-64-6	0000049384	2016/12/08	高校生用ＳＰＩクリア問題集  １８年版			日本キャリアサポートセンター／著	307.8	ｺ	18	成美堂出版	2016	175p	22cm	2016
978-4-905349-23-5	0000049385	2016/12/08	理由 ルイス・スアレス自伝			ルイス・スアレス／著 ピーター・ジェンソン／共著 シド・ロウ／共著 山中 忍／訳	783.4	ｽ		ソル・メディア	2015	463p	19cm	2016
978-4-800251-39-8	0000049386	2016/12/08	思うは招く 自分たちの力で最高のロケットを作る！			植松 努／著	159	ｳ		宝島社	2016	175p	19cm	2016
978-4-811807-93-5	0000049387	2016/12/08	あたらしい憲法草案のはなし			自民党の憲法改正草案を爆発的にひろめる有志連合／著	323.1	ｱ		太郎次郎社エディタス	2016	95p	19cm	2016
978-4-198922-95-5	0000049388	2016/12/08	アミ小さな宇宙人		徳間文庫	エンリケ・バリオス／著 石原 彰二／訳	963	ﾊﾞ		徳間書店	2005	249p	16cm	2016
978-4-756244-03-1	0000049389	2016/12/08	世界の美しいきのこ			保坂 健太郎／監修	474.8	ｾ		パイインターナショナル	2013	191p	15×15cm	2016
978-4-562053-46-9	0000049390	2016/12/08	曲がり木たち			小手鞠 るい／著	913.6	ｺ		原書房	2016	198p	20cm	2016
978-4-865060-79-9	0000049391	2016/12/08	Ｗａｖｅｓ　ｏｆ　Ｎｏｒｔｈ　Ｓｈｏｒｅ			クラーク・リトル／写真	748	ﾘ		パルコエンタテインメント事業部	2014	1冊(ﾍﾟｰｼﾞ付なし)	20×31cm	2016
978-4-835625-88-1	0000049392	2016/12/08	日本の美術館ベスト２００最新案内 ２０１６		ぴあＭＯＯＫ		706.9	ﾆ	16	ぴあ	2016	114p	30cm	2016
978-4-565175-12-0	0000049393	2016/12/08	高校生の〈就職〉一般常識＋適性試験 ２０１７年度版		高校生用就職試験シリーズ	就職試験情報研究会／編著	307.8	ｺ	17	一ツ橋書店	2015	183p	19cm	2016
978-4-577043-09-7	0000049394	2016/12/08	もしもせかいがたべものでできていたら			カール・ワーナー／写真・文 今井 悟朗／訳	498.5	ﾜ		フレーベル館	2015	32p	26×29cm	2016
978-4-167838-54-6	0000049395	2016/12/08	大人のいない国		文春文庫 う１９−１４	鷲田 清一／著 内田 樹／著	304	ﾜ		文芸春秋	2013	189p	16cm	2016
978-4-167844-01-1	0000049396	2016/12/08	ルリボシカミキリの青 福岡ハカセができるまで		文春文庫 ふ３３−１	福岡 伸一／著	404	ﾌ		文芸春秋	2012	253p	16cm	2016
