ISBN,登録番号,受入日,title,書名かな,副書名,副書名かな,series,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目,
9788-877549754,81393,2024/09/13,Emma,,,,Reading and training  Step 5 B2.2,Step 5 B2.2,Jane Austen,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 14000w,False,,,,False,,,,False,False,True,,
9788-877549327,81394,2024/09/13,Tess of the d'Urbervilles,,,,Reading and training  intermediate,,Thomas Hardy,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 21200w,False,,,,False,,,,False,False,True,,
9788-877549327,81395,2024/09/13,Tess of the d'Urbervilles,,,,Reading and training  intermediate,,Thomas Hardy,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 21200w,False,,,,False,,,,False,False,True,,
9788-877549327,81396,2024/09/13,Tess of the d'Urbervilles,,,,Reading and training  intermediate,,Thomas Hardy,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 21200w,False,,,,False,,,,False,False,True,,
9788-853001764,81397,2024/09/13,Gothic short stories,,,,Reading and training  Step 5 B2.2,,W. W. Jacobs ... [et al.],,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 11800w,False,,,,False,,,,False,False,True,,
9788-853001764,81398,2024/09/13,Gothic short stories,,,,Reading and training  Step 5 B2.2,,W. W. Jacobs ... [et al.],,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 11800w,False,,,,False,,,,False,False,True,,
9788-853001764,81399,2024/09/13,Gothic short stories,,,,Reading and training  Step 5 B2.2,,W. W. Jacobs ... [et al.],,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 11800w,False,,,,False,,,,False,False,True,,
9788-877549754,81400,2024/09/13,Emma,,,,Reading and training  intermediate,,Jane Austen,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 14000w,False,,,,False,,,,False,False,True,,
9788-877549754,81401,2024/09/13,Emma,,,,Reading and training  Step 5 B2.2,Step 5 B2.2,Jane Austen,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5 14000w,False,,,,False,,,,False,False,True,,
9788-853001351,81402,2024/09/13,Pride and prejudice,,,,Reading and training  intermediate,,Jane Austen,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 4.5 200000w,False,,,,False,,,,False,False,True,,
