ISBN	rgtn	title	auth	series	pub	pub_year	page	size	cls1	cls2	cls3
9788-877549297	81456	Tom Jones	Henry Fielding	Reading and training  pre-intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-877547972	81457	Le morte d'Arthur	Sir Thomas Malory	Reading and training  pre-intermediate	Black Cat	2002	144p	21cm	837.7	RE	
9788-853003201	81458	Jack the Ripper	Peter Foreman	Reading and training  pre-intermediate  step 4　B2.1	Black Cat	2005	96p	21cm	837.7	RE	
9788-853003201	81459	Jack the Ripper	Peter Foreman	Reading and training  pre-intermediate  step 4　B2.1	Black Cat	2005	96p	21cm	837.7	RE	
9788-853003201	81460	Jack the Ripper	Peter Foreman	Reading and training  pre-intermediate  step 4　B2.1	Black Cat	2005	96p	21cm	837.7	RE	
9788-853006103	81461	Moby Dick	Herman Melville	Reading and training  Step 4	Black Cat	2007	127p	21cm	837.7	RE	
9788-853006103	81462	Moby Dick	Herman Melville	Reading and training  Step 4	Black Cat	2007	127p	21cm	837.7	RE	
9788-877549297	81463	Tom Jones	Henry Fielding	Reading and training  pre-intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-877549297	81464	Tom Jones	Henry Fielding	Reading and training  pre-intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-877549297	81465	Tom Jones	Henry Fielding	Reading and training  pre-intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-853006103	81466	Moby Dick	Herman Melville	Reading and training  Step 4　B2.1	Black Cat	2007	127p	21cm	837.7	RE	
9788-877547750	81467	The big mistake and other stories	Nella Burnett-Stuart  Bruna Deriu	Reading and training  pre-intermediate	Black Cat	1998	128p	21cm	837.7	RE	
9788-877547750	81468	The big mistake and other stories	Nella Burnett-Stuart  Bruna Deriu	Reading and training  Step 4 B2.1	Black Cat	1998	128p	21cm	837.7	RE	
9788-877546418	81469	Frankenstein	Mary Shelley	Reading and training	Black Cat	1997	160p	21cm	837.7	RE	
9788-877546418	81470	Frankenstein	Mary Shelley	Reading and training	Black Cat	1997	160p	21cm	837.7	RE	
9788-877547972	81471	Le morte d'Arthur	Sir Thomas Malory	Reading and training  Step4 B2.1	Black Cat	2002	144p	21cm	837.7	RE	
9788-853003201	81472	Jack the Ripper	Peter Foreman	Reading and training  pre-intermediate  step 4　B2.1	Black Cat	2005	96p	21cm	837.7	RE	
9788-877548603	81473	A tale of two cities	Charles Dickens	Reading and training  intermediate	Black Cat	2002	160p	21cm	837.7	RE	
9788-853001764	81474	Gothic short stories	W. W. Jacobs ... [et al.]	Reading and training  intermediate	Black Cat	2004	128p	21cm	837.7	RE	
9788-853001702	81475	Sons and lovers	D. H. Lawrence	Reading and training  intermediate	Black Cat	2005	144p	21cm	837.7	RE	
9788-853001641	81476	Famous British criminals from The Newgate calendar	Victoria Spence	Reading and training  step 4 B2.1	Black Cat	2005	112p	21cm	837.7	RE	
9788-853001641	81477	Famous British criminals from The Newgate calendar	Victoria Spence	Reading and training  pre-intermediate  step 4	Black Cat	2005	112p	21cm	837.7	RE	
9788-877547590	81478	The problem of cell 13	Jacques Futrelle	Reading and training  intermediate	Black Cat	1999	96p	21cm	837.7	RE	
9788-877547590	81479	The problem of cell 13	Jacques Futrelle	Reading and training  intermediate	Black Cat	1999	96p	21cm	837.7	RE	
9788-877547590	81480	The problem of cell 13	Jacques Futrelle	Reading and training  intermediate	Black Cat	1999	96p	21cm	837.7	RE	
9788-877547590	81481	The problem of cell 13	Jacques Futrelle	Reading and training  intermediate	Black Cat	1999	96p	21cm	837.7	RE	
9788-853000231	81482	The Canterbury tales	Geoffrey Chaucer	Reading and training  pre-intermediate  step 4	Black Cat	2003	111p	21cm	837.7	RE	
9788-853000231	81483	The Canterbury tales	Geoffrey Chaucer	Reading and training  pre-intermediate  step 4	Black Cat	2003	111p	21cm	837.7	RE	
9788-853003133	81484	The secret agent	Joseph Conrad	Reading and training  Step 4	Black Cat	2006	111p	21cm	837.7	RE	
9788-853003133	81485	The secret agent	Joseph Conrad	Reading and training  Step 4 B2.1	Black Cat	2006	111p	21cm	837.7	RE	
9788-853000293	81486	The last of the Mohicans	James Fenimore Cooper	Reading and training  pre-intermediate  step 4 B2.1	Black Cat	2003	143p	21cm	837.7	RE	
9788-853000293	81487	The last of the Mohicans	James Fenimore Cooper	Reading and training  pre-intermediate  step 4 B2.1	Black Cat	2003	143p	21cm	837.7	RE	
9788-853000293	81488	The last of the Mohicans	James Fenimore Cooper	Reading and training  pre-intermediate  step 4 B2.1	Black Cat	2003	143p	21cm	837.7	RE	
9788-853000293	81489	The last of the Mohicans	James Fenimore Cooper	Reading and training  pre-intermediate  step 4 B2.1	Black Cat	2003	143p	21cm	837.7	RE	
9788-853000354	81490	Frankenstein	Mary Shelley	Reading and training  intermediate	Black Cat	2003	143p	21cm	837.7	RE	
9788-853000354	81491	Frankenstein	Mary Shelley	Reading and training  intermediate	Black Cat	2003	143p	21cm	837.7	RE	
9788-853000354	81492	Frankenstein	Mary Shelley	Reading and training  intermediate	Black Cat	2003	143p	21cm	837.7	RE	
9788-853000354	81493	Frankenstein	Mary Shelley	Reading and training  intermediate	Black Cat	2003	143p	21cm	837.7	RE	
9788-853001641	81494	Famous British criminals from The Newgate calendar	Victoria Spence	Reading and training  pre-intermediate  step 4 B2.1	Black Cat	2005	112p	21cm	837.7	RE	
9788-853001641	81495	Famous British criminals from The Newgate calendar	Victoria Spence	Reading and training  step 4 B2.1	Black Cat	2005	112p	21cm	837.7	RE	
9788-853002952	81496	A study in scarlet	Sir Arthur Conan Doyle	Reading and training  Step 4	Black Cat	2006	111p	21cm	837.7	RE	
9788-853002952	81497	A study in scarlet	Sir Arthur Conan Doyle	Reading and training  Step 4　B2.1	Black Cat	2006	111p	21cm	837.7	RE	
9788-853004130	81498	Daisy Miller	Henry James	Reading and training  Step 4　B2.1	Black Cat	2006	94p	21cm	837.7	RE	
9788-853000378	81499	The picture of Dorian Gray	Oscar Wilde	Reading and training  intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-853000378	81500	The picture of Dorian Gray	Oscar Wilde	Reading and training  intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-853000378	81501	The picture of Dorian Gray	Oscar Wilde	Reading and training  intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-853000378	81502	The picture of Dorian Gray	Oscar Wilde	Reading and training  intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-877549334	81503	Vanity fair	William Makepeace Thackeray	Reading and training  intermediate	Black Cat	2004	144p	21cm	837.7	RE	
9788-877549334	81504	Vanity fair	William Makepeace Thackeray	Reading and training  intermediate	Black Cat	2004	144p	21cm	837.7	RE	
9788-877549334	81505	Vanity fair	William Makepeace Thackeray	Reading and training  intermediate	Black Cat	2004	144p	21cm	837.7	RE	
9788-877546227	81506	The phantom of the opera	Gaston Leroux	Reading and training  elementary  step 3	Black Cat	2002	128p	21cm	837.7	RE	
9788-877546227	81507	The phantom of the opera	Gaston Leroux	Reading and training  elementary  step 3 B1.2	Black Cat	2002	128p	21cm	837.7	RE	
9788-877546227	81508	The phantom of the opera	Gaston Leroux	Reading and training  elementary  step 3 B1.2	Black Cat	2002	128p	21cm	837.7	RE	
9788-877546227	81509	The phantom of the opera	Gaston Leroux	Reading and training  elementary  step 3 B1.2	Black Cat	2002	128p	21cm	837.7	RE	
9788-853001627	81510	Lord Arthur Savile's crime and other stories	Oscar Wilde 	Reading and training  elementary  step 3	Black Cat	2005	112p	21cm	837.7	RE	
9788-853001627	81511	Lord Arthur Savile's crime and other stories	Oscar Wilde 	Reading and training  elementary  step 3 B1.2	Black Cat	2005	112p	21cm	837.7	RE	
9788-853001627	81512	Lord Arthur Savile's crime and other stories	Oscar Wilde 	Reading and training  elementary  step 3 B1.2	Black Cat	2005	112p	21cm	837.7	RE	
9788-853001627	81513	Lord Arthur Savile's crime and other stories	Oscar Wilde 	Reading and training  elementary  step 3 B1.2	Black Cat	2005	112p	21cm	837.7	RE	
9788-853003669	81514	The diamond as big as the Ritz	F. Scott Fitzgerald	Reading and training  Step 3 B1.2	Black Cat	2006	96p	21cm	837.7	RE	
9788-853003669	81515	The diamond as big as the Ritz	F. Scott Fitzgerald	Reading and training  Step 3 B1.2	Black Cat	2006	96p	21cm	837.7	RE	
9788-853003669	81516	The diamond as big as the Ritz	F. Scott Fitzgerald	Reading and training  Step 3 B1.2	Black Cat	2006	96p	21cm	837.7	RE	
