ISBN	rgtn	title	auth	series	pub	pub_year	page	size	cls1	cls2	cls3
9780-545556309	81757	Flight of the Red Bandit	Geronimo Stilton	Geronimo Stilton  56	Scholastic	2014	107p	20cm	837.7	ST	
9780-545556316	81758	The Stinky Cheese Vacation	Geronimo Stilton	Geronimo Stilton  57	Scholastic	2014	105p	20cm 9780545556316	837.7	ST	
9780-545556316	81759	The Stinky Cheese Vacation	Geronimo Stilton	Geronimo Stilton  57	Scholastic	2014	105p	20cm 9780545556316	837.7	ST	
9780-545556316	81760	The Stinky Cheese Vacation	Geronimo Stilton	Geronimo Stilton  57	Scholastic	2014	105p	20cm 9780545556316	837.7	ST	
9780-545447744	81761	Cavemice : the stone of fire	Geronimo Stilton	Geronimo Stilton  1	Scholastic	2013	115p	20cm	837.7	ST	
9780-545447744	81762	Cavemice : the stone of fire	Geronimo Stilton	Geronimo Stilton  1	Scholastic	2013	115p	20cm	837.7	ST	
9780-545447744	81763	Cavemice : the stone of fire	Geronimo Stilton	Geronimo Stilton  1	Scholastic	2013	115p	20cm	837.7	ST	
9780-545447744	81764	Cavemice : the stone of fire	Geronimo Stilton	Geronimo Stilton  1	Scholastic	2013	115p	20cm	837.7	ST	
9780-545447751	81765	Cavemice : watch your tail!	Geronimo Stilton	Geronimo Stilton  2	Scholastic	2013	114p	20cm	837.7	ST	
9780-545447751	81766	Cavemice : watch your tail!	Geronimo Stilton	Geronimo Stilton  2	Scholastic	2013	114p	20cm	837.7	ST	
9780-545447744	81767	Cavemice : the stone of fire	Geronimo Stilton	Geronimo Stilton  1	Scholastic	2013	115p	20cm	837.7	ST	
9780-545447751	81768	Cavemice : watch your tail!	Geronimo Stilton	Geronimo Stilton  2	Scholastic	2013	114p	20cm	837.7	ST	
9780-545447751	81769	Cavemice : watch your tail!	Geronimo Stilton	Geronimo Stilton  2	Scholastic	2013	114p	20cm	837.7	ST	
9780-545447751	81770	Cavemice : watch your tail!	Geronimo Stilton	Geronimo Stilton  2	Scholastic	2013	114p	20cm	837.7	ST	
9780-545447744	81771	Cavemice : the stone of fire	Geronimo Stilton	Geronimo Stilton  1	Scholastic	2013	115p	20cm	837.7	ST	
9780-545656016	81772	Thea Stilton and the missing myth	Geronimo Stilton	Geronimo Stilton	Scholastic	2014	158p	20cm	837.7	ST	
9780-545656016	81773	Thea Stilton and the missing myth	Geronimo Stilton	Geronimo Stilton	Scholastic	2014	158p	20cm	837.7	ST	
9780-060534509	81774	The High-Rise Private Eyes : the case of the baffled bear	Cynthia Rylant	An I Can Read BOOK	HarperCollins	2004	48p	22cm	837.7	IC	
9780-060510923	81775	Grandpa Spanielson's Chicken PoxStories story #1 : The octopus	Denys Cazet	An I Can Read Book	HarperCollins	2005	46p	22cm	837.7	IC	
9780-060544676	81776	Amazing Whales!	Sarah L. Thomson	An I Can Reaqd Book	HarperCollins	2005	1vol	22cm	837.7	IC	
9780-060544676	81777	Amazing Whales!	Sarah L. Thomson	An I Can Reaqd Book	HarperCollins	2005	1vol	22cm	837.7	IC	
9780-060080532	81778	Hanukkah lights : holiday poetry	Bennett Hopkins	An I Can Read Book	HarperCollins	2004	28p	22cm	837.7	IC	
9780-060080532	81779	Hanukkah lights : holiday poetry	Bennett Hopkins	An I Can Read Book	HarperCollins	2004	28p	22cm	837.7	IC	
9780-060080532	81780	Hanukkah lights : holiday poetry	Bennett Hopkins	An I Can Read Book	HarperCollins	2004	28p	22cm	837.7	IC	
9786-594003993	81781	Stuart Little : Stuart hides out	Susan Hill	An I Can Read Book	HarperCollins	2001	32p	22cm	837.7	IC	
9786-594003993	81782	Who's Afraid of the Dark?	Crosby Bonsall	An I Can Read Book	HarperCollins	2002	32p	22cm	837.7	IC	
9786-594004990	81783	Digby	Barbara Shook Hazen	An I Can Read Book	HarperCollins	1997	32p	22cm	837.7	IC	
9786-594003993	81784	Dinosaur Time	Peggy Parish	An I Can Read Book	HarperCollins	1974	30p	22cm	837.7	IC	
9780-064435970	81785	Drip  Drop	Sarah Weeks	An I Can Read Book	HarperCollins	2002	32p	22cm	837.7	IC	
9786-594003993	81786	Morris the Moose	B. Wiseman	An I Can Read Book	HarperCollins	1991	32p	22cm	837.7	IC	
9780-064441469	81787	Morris the Moose	B. Wiseman	An I Can Read Book	HarperCollins	1989	32p	22cm	837.7	IC	
9786-594003993	81788	Grandmas Trick-or－Treat	Arnold McCully	An I Can Read Book	HarperCollins	2002	47p	22cm	837.7	IC	
9780-064441735	81789	Two Silly Trolls	Nancy Jewell	An I Can Read Book	HarperCollins	1994	64p	22cm	837.7	IC	
9786-594003955	81790	The High-Rise Private Eyes #3 : the case of thePuzzling Possum	Cynthia Rylant	An I Can Read Book	HarperCollins	2002	48p	22cm	837.7	IC	
9786-594003955	81791	The High-Rise Private Eyes #3 : the case of thePuzzling Possum	Cynthia Rylant	An I Can Read Book	HarperCollins	2002	48p	22cm	837.7	IC	
