ISBN	登録番号	受入日	書名	副書名	叢書名等	著者名	分類記号	図書記号	巻冊記号	出版社	版年	頁数	判型
	0000003103	2002/10/07	世界ノンフィクション全集３７　／戦艦ポチョムキンの反乱／カタロニア讃歌／閔后暗殺／		全集　３７	筑摩書房	908.6	ﾁ	37	筑摩書房	1962	419	19
	0000003113	2003/06/08	日本人物史大系　　〈二〉／中世		全７巻	佐藤　進一	281	ｻｼ	2	講談社	1962	309	22
	0000003114	2003/06/08	日本人物史大系　　〈一〉／古代		全７巻	川崎　庸之	281	ｶﾔ	1	講談社	1962	326	19
	0000003115	2003/06/08	日本人物史大系　　〈三〉／近世㈵		全７巻	北島　正元	281	ｷﾏ	3	講談社	1962	381	22
	0000003116	2003/06/08	日本人物史大系　　〈四〉／近世㈼		全７巻	林　基	281	ﾊﾓ	4	講談社	1962	378	22
	0000003117	2003/06/08	日本人物史大系　　〈五〉／近代㈵		全７巻	小西　四郎	281	ｺｼ	5	講談社	1962	340	22
	0000003118	2003/06/09	日本人物史大系　　〈六〉／近代㈼		全７巻	大久保　利謙	281	ｵﾄ	6	講談社	1962	388	22
	0000003119	2003/06/09	日本人物史大系　　〈七〉／近代㈽		全７巻	井上　清	281	ｲｷ	7	講談社	1962	357	22
	0000003130	2003/06/08	２０世紀を動かした人々　９／世界の富の支配者		全集　９	岡倉　古志郎	280	ｵｺ	9	講談社	1962	412	19
	0000003148	2003/09/20	定本・野鳥記　１／野鳥と共に			中西　悟堂	488.04	ﾅｺ	1	春秋社	1962	322	20
	0000003230	2003/06/11	謡曲集　〈下〉　／日本古典文学大系　４１		日本古典文学大系　４１	後藤　丹治．他	912.3	ﾖﾏ	41	岩波書店	1963	488	22
	0000003239	2003/07/16	図説・日本文化地理大系　９／中部㈵／総説・長野・山梨・中部山岳			小学館	291.5	ｼ	9	小学館	1963	366	27
	0000003241	2002/05/14	校本　松尾芭蕉全集　第三巻　連句篇（上）		全集	大谷　篤蔵／木村　三四吾／今栄　蔵．他	918.68	ｵ	3	角川書店	1963	429	20
	0000003242	2003/06/08	２０世紀を動かした人々　４／技術革新への道		全集　４	星野　芳郎	280	ﾎﾖ	4	講談社	1963	404	19
	0000003252	2003/06/10	今昔物語集　〈五〉　／日本古典文学大系　２６		日本古典文学大系　２６	山田　孝雄．他	913.3	ﾔﾀ	26	岩波書店	1963	576	22
	0000003264	2002/10/07	世界ノンフィクション全集４０　／ちょっとピンぼけ／黒い哀しい歌／ハリウッドの王子／		全集　４０	筑摩書房	908.6	ﾁ	40	筑摩書房	1963	450	19
	0000003290	2003/06/10	源氏物語　〈五〉　／日本古典文学大系　１８		日本古典文学大系　１８	山岸　徳平	913.3	ﾔﾄ	18	岩波書店	1963	516	22
	0000003303	2003/09/20	定本・野鳥記　３／鳥を語る			中西　悟堂	488.04	ﾅｺ	3	春秋社	1963	330	20
	0000003309	2003/07/16	図説・日本文化地理大系１５／東北㈵／総説・福島・宮城・岩手			小学館	291.2	ｼ	15	小学館	1963	382	27
	0000003310	2002/10/07	世界ノンフィクション全集４１　／獄中日記／愛は死を見つめて／愛と恐れ／エミーよ／		全集　４１	筑摩書房	908.6	ﾁ	41	筑摩書房	1963	459	19
	0000003319	2003/06/08	２０世紀を動かした人々　８／大衆芸術家の肖像		全集　８	加藤　秀俊	280	ｶﾋ	8	講談社	1963	406	19
978-4-106020-79-7	0000003352	2003/07/03	上高地ものがたり		とんぼの本	浅野　孝一	291.52	ｱｺ		新潮社	1999	119	22
