ISBN	rgtn	ukeymd	title	auth	pub	pub_year	page	size	series	cls1	cls2	cls3	ukeymd_1
9784-005009848	81275	2024/7/29	ＳＤＧｓから考える世界の食料問題	小沼 廣幸 著	岩波書店	2024	5 204p	18cm	岩波ジュニア新書　９８４	611.3	ｺﾇ		202407
9784-005009831	81276	2024/7/29	翻訳に挑戦！名作の英語にふれる	河島 弘美 著	岩波書店	2024	9 189p	18cm	岩波ジュニア新書　９８３	837.5	ｶﾜ		202407
9784-002710921	81277	2024/7/29	現場から考える国語教育が危ない！	村上 慎一 著　伊藤 氏貴 著	岩波書店	2024	75p	21cm	岩波ブックレット　Ｎｏ．１０９２	375.8	ﾑﾗ		202407
9784-005009855	81278	2024/7/29	迷いのない人生なんて 	共同通信社 編	岩波書店	2024	17 240p	18cm	岩波ジュニア新書　９８５	281	ｷｮ		202407
9784-004320166	81279	2024/7/29	頼山陽	揖斐 高 著	岩波書店	2024	11 287p	18cm	岩波新書　新赤版　２０１６	289.1	ﾗｲ		202407
9784-488451127	81280	2024/7/29	冬期限定ボンボンショコラ事件	米澤 穂信 著	東京創元社	2024	431p	15cm	創元推理文庫　Ｍよ１－１２	913.6	ﾖﾈ		202407
9784-334100520	81281	2024/7/29	リカバリー・カバヒコ	青山 美智子 著	光文社	2023	234p	20cm		913.6	ｱｵ		202407
9784-488153168	81282	2024/7/29	その罪は描けない	Ｓ．Ｊ．ローザン 著　直良 和美 訳	東京創元社	2023	402p	15cm	創元推理文庫　Ｍロ３－１５	933.7	ﾛｰ		202407
9784-488565169	81283	2024/7/29	隠し子騒動	廣嶋 玲子 著	東京創元社	2024	217p	15cm	創元推理文庫　Ｆひ２－１５	913.6	ﾋﾛ		202407
9784-488565152	81284	2024/7/29	妖たちの気ままな日常	廣嶋 玲子 著	東京創元社	2023	247p	15cm	創元推理文庫　Ｆひ２－１４	913.6	ﾋﾛ		202407
9784-562073429	81285	2024/7/29	中世ヨーロッパ「勇者」の日常生活	ケイト・スティーヴンソン 著　大槻 敦子 訳	原書房	2023	313p	20cm		230.4	ｽﾃ		202407
9784-488780036	81286	2024/7/29	ネットワーク・エフェクト	マーサ・ウェルズ 著　中原 尚哉 訳	東京創元社	2021	540p	15cm	創元ＳＦ文庫　ＳＦウ１５－３	933.7	ｳｪ		202407
9784-065325223	81287	2024/7/29	硫黄島上陸	酒井 聡平 著	講談社	2023	335p	20cm		369.3	ｻｶ		202407
9784-488134129	81288	2024/7/29	ワインレッドの追跡者	アリスン・モントクレア 著　山田 久美子 訳	東京創元社	2024	451p	15cm	創元推理文庫　Ｍモ９－４	933.7	ﾓﾝ		202407
9784-488803117	81289	2024/7/29	アンソロジー舞台！	近藤 史恵 著　笹原 千波 著　白尾 悠 著　雛倉 さりえ 著　乾 ルカ 著	東京創元社	2024	280p	15cm	創元文芸文庫　ＬＡん１－２	913.6	ｱﾝ		202407
9784-488803100	81290	2024/7/29	私たちの特別な一日	飛鳥井 千砂 著　寺地 はるな 著　雪舟 えま 著　嶋津 輝 著　高山 羽根子 著　町田 そのこ 著	東京創元社	2023	300p	15cm	創元文芸文庫　ＬＡん１－１	913.6	ﾜﾀ		202407
9784-103549529	81291	2024/7/29	成瀬は信じた道をいく	宮島 未奈 著	新潮社	2024	199p	20cm		913.6	ﾐﾔ		202407
9784-103553113	81292	2024/7/29	君が手にするはずだった黄金について	小川 哲 著	新潮社	2023	243p	20cm		913.6	ｵｶﾞ		202407
9784-167920364	81293	2024/7/29	烏百花　白百合の章	阿部 智里 著	文藝春秋	2023	301p	16cm	文春文庫　あ６５－１０	913.6	ｱﾍﾞ		202407
9784-120056284	81294	2024/7/29	黄色い家	川上 未映子 著	中央公論新社	2023	601p	20cm		913.6	ｶﾜ		202407
9784-065351987	81295	2024/7/29	レーエンデ国物語　〔４〕　夜明け前	多崎 礼 著	講談社	2024	572p	19cm		913.6	ﾀｻ	4	202407
9784-004311577	81296	2024/7/31	子どもの貧困　〔１〕　日本の不公平を考える	阿部 彩 著	岩波書店	960	10 249 7p	18cm	岩波新書　新赤版　１１５７	367.6	ｱﾍﾞ	1	202407
9784-065277522	81297	2024/7/31	独学の思考法	山野 弘樹 著	講談社	2022	216p	18cm	講談社現代新書　２６５４	104	ﾔﾏ		202407
9784-272331024	81298	2024/7/31	日本のＳＤＧｓ	高橋 真樹 著	大月書店	2021	236p	19cm		333.8	ﾀｶ		202407
9784-065285763	81299	2024/7/31	「正しい戦争」は本当にあるのか	藤原 帰一 著	講談社	2022	250p	18cm	講談社＋α新書　８５３－１Ｃ	319.8	ﾌｼﾞ		202407
9784-480071927	81300	2024/7/31	未来の再建	井手 英策 著　今野 晴貴 著　藤田 孝典 著	筑摩書房	2018	251p	18cm	ちくま新書　１３７３	364	ｲﾃﾞ		202407
9784-065213537	81301	2024/7/31	手の倫理	伊藤 亜紗 著	講談社	2020	214p	19cm	講談社選書メチエ　７３５	141.2	ｲﾄ		202407
9784-818023253	81302	2024/7/31	新型コロナウイルス　ナースたちの現場レポート	日本看護協会出版会編集部 編	日本看護協会出版会	2021	10 744p	21cm		492.9	ﾆﾎ		202407
9784-344985148	81303	2024/7/31	考えるとはどういうことか	梶谷 真司 著	幻冬舎	2018	262p	18cm	幻冬舎新書　か－２３－１	104	ｶｼﾞ		202407
9784-334045814	81304	2024/7/31	〈問い〉から始めるアート思考	吉井 仁実 著	光文社	2021	209p	18cm	光文社新書　１１７４	704	ﾖｼ		202407
9784-794973191	81305	2024/7/31	私がつかんだコモンと民主主義	岸本 聡子 著	晶文社	2022	222p	19cm		309	ｷｼ		202407
9784-309631059	81306	2024/7/31	「学校」をつくり直す	苫野 一徳 著	河出書房新社	2019	249p	18cm	河出新書　００５	370.4	ﾄﾏ		202407
9784-121026590	81307	2024/7/31	経済社会の学び方	猪木 武徳 著	中央公論新社	2021	3 257p	18cm	中公新書　２６５９	307	ｲﾉ		202407
9784-087211986	81308	2024/7/31	他者と生きる	磯野 真穂 著	集英社	2022	275p	18cm	集英社新書　１０９８	498	ｲｿ		202407
