ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
	0000030431	2002/02/18	理科系の男に期待します。		ダヴィンチブックス	太田垣　晴子	041	ﾀﾞ		メディアフォクトリー	1996	205	19	2002
978-4-095231-01-3	0000030432	2002/05/17	日本地名大百科　／ランドジャポニカ／		事典	小学館／秋庭　隆	291.03	ｼ		小学館	1996	1327	27	2002
978-4-005002-81-8	0000030433	2002/07/25	老人とつきあう		岩波ジュニア新書２８１	新藤　兼人	778.2	ｼ		岩波書店	1996	205	18	2002
	0000030434	2002/01/18	古都発掘　--藤原京と平城京--		岩波新書Ｒ４６８	田中　琢．編	210.3	ﾀ		岩波書店	1996	242	18	2002
	0000030435	2002/01/18	平安王朝		岩波新書Ｒ４６９	保立　道久	210.36	ﾎ		岩波書店	1996	251	18	2002
	0000030436	2002/01/18	江戸の訴訟　--御宿村一件顛末--		岩波新書Ｒ４７０	高橋　敏	210.5	ﾀｻ		岩波書店	1996	220	18	2002
	0000030437	2002/02/23	義賊伝説		岩波新書Ｒ４７１	南塚　信吾	361	ﾐ		岩波書店	1996	204	18	2002
978-4-004304-72-2	0000030438	2002/07/27	名前と人間		岩波新書Ｒ４７２	田中　克彦	801	ﾀ		岩波書店	1996	204	18	2002
	0000030439	2002/02/11	南アフリカ　--「虹の国」への歩み--		岩波新書Ｒ４７３	峯　陽一	248	ﾐ		岩波書店	1996	245	18	2002
	0000030440	2002/01/20	沖縄現代史		岩波新書Ｒ４７４	新崎　盛暉	219.9	ｱ		岩波書店	1996	246	18	2002
978-4-004304-75-3	0000030441	2002/02/27	脳と神経内科		岩波新書Ｒ４７５	小長谷　正明	493.7	ｺ		岩波書店	1996	230	18	2002
978-4-121013-31-6	0000030442	2002/03/03	円と日銀　--セントラル・バンカーの回想--		中公新書１３３１	緒方　四十郎	338.15	ｵ		中央公論社	1996	168	18	2002
978-4-121013-32-3	0000030443	2002/03/04	日記が語る日本の農村　--松本盆地の畑に八十年--		中公新書１３３２	中村　靖彦	361.76	ﾅ		中央公論社	1996	248	18	2002
978-4-121013-34-7	0000030445	2002/07/10	帝国劇場開幕　／「今日は帝劇　明日は三越」／		中公新書１３３４	嶺　隆	772.1	ﾐ		中央公論社	1996	320	18	2002
978-4-002602-87-5	0000030446	2002/09/18	日本経済改革白書		同時代ライブラリー２８７	小島　祥一	332.1	ｺ		岩波書店	1996	247	16	2002
978-4-002602-86-8	0000030447	2002/10/23	【新版】 日本の原発地帯		同時代ライブラリー２８６	鎌田　慧	543.5	ｶ		岩波書店	1996	323	16	2002
978-4-002602-85-1	0000030448	2002/09/08	宗教と非宗教の間		同時代ライブラリー	西谷　啓治／上田　閑照．編	161.1	ﾆ		岩波書店	1996	319	16	2002
978-4-062571-47-0	0000030451	2002/04/22	バイオスフィア実験生活　／市場最大の人工閉鎖生態系での２年間／		BLUE BACKS B-１１４７	アビゲイル・アリング／マーク・ネルソン／平田　明隆．訳	468	ｱ		講談社	1996	301	18	2002
978-4-480101-21-1	0000030452	2002/09/15	恋はきまぐれ　／新・ちくま文学の森　１		新・ちくま文学の森　１	筑摩書房	908	ﾁ	1	筑摩書房	1994	412	20	2002
978-4-480101-22-8	0000030453	2002/09/15	奇想天外　／新・ちくま文学の森　２		新・ちくま文学の森　２	筑摩書房	908	ﾁ	2	筑摩書房	1994	416	20	2002
978-4-480101-23-5	0000030454	2002/09/15	人情ばなし　／新・ちくま文学の森　３		新・ちくま文学の森　３	筑摩書房	908	ﾁ	3	筑摩書房	1994	408	20	2002
978-4-480101-24-2	0000030455	2002/09/15	悪の物語　／新・ちくま文学の森　４		新・ちくま文学の森　４	筑摩書房	908	ﾁ	4	筑摩書房	1994	408	20	2002
978-4-480101-25-9	0000030456	2002/09/15	こどもの風景　／新・ちくま文学の森　５		新・ちくま文学の森　５	筑摩書房	908	ﾁ	5	筑摩書房	1995	407	20	2002
978-4-480101-26-6	0000030457	2002/09/15	いのちのかたち　／新・ちくま文学の森　６		新・ちくま文学の森　６	筑摩書房	908	ﾁ	6	筑摩書房	1995	412	20	2002
978-4-480101-27-3	0000030458	2002/09/15	愛と憎しみ　／新・ちくま文学の森　７		新・ちくま文学の森　７	筑摩書房	908	ﾁ	7	筑摩書房	1995	408	20	2002
978-4-480101-28-0	0000030459	2002/09/15	からだの発見　／新・ちくま文学の森　８		新・ちくま文学の森　８	筑摩書房	908	ﾁ	8	筑摩書房	1995	408	20	2002
978-4-480101-29-7	0000030460	2002/09/15	たたかいの記憶　／新・ちくま文学の森　９		新・ちくま文学の森　９	筑摩書房	908	ﾁ	9	筑摩書房	1995	410	20	2002
978-4-480101-30-3	0000030461	2002/09/15	どこか遠くへ　／新・ちくま文学の森　１０		新・ちくま文学の森　１０	筑摩書房	908	ﾁ	10	筑摩書房	1995	412	20	2002
978-4-480101-31-0	0000030462	2002/09/15	ごちそう帳　／新・ちくま文学の森　１１		新・ちくま文学の森　１１	筑摩書房	908	ﾁ	11	筑摩書房	1995	408	20	2002
978-4-480101-32-7	0000030463	2002/09/15	大いなる自然　／新・ちくま文学の森　１２		新・ちくま文学の森　１２	筑摩書房	908	ﾁ	12	筑摩書房	1995	394	20	2002
978-4-480101-33-4	0000030464	2002/09/15	世界は笑う　／新・ちくま文学の森　１３		新・ちくま文学の森　１３	筑摩書房	908	ﾁ	13	筑摩書房	1995	394	20	2002
978-4-480101-34-1	0000030465	2002/09/15	ことばの国　／新・ちくま文学の森　１４		新・ちくま文学の森　１４	筑摩書房	908	ﾁ	14	筑摩書房	1995	394	20	2002
978-4-480101-35-8	0000030466	2002/09/15	絵のある世界　／新・ちくま文学の森　１５		新・ちくま文学の森　１５	筑摩書房	908	ﾁ	15	筑摩書房	1995	395	20	2002
978-4-480101-36-5	0000030467	2002/09/15	心にのこった話　／新・ちくま文学の森　１		新・ちくま文学の森　１６	筑摩書房	908	ﾁ	16	筑摩書房	1996	356	20	2002
978-4-915884-04-7	0000030478	2002/11/22	芥川・直木賞のとり方　／あこがれが“勝利の女神”に！今			百々　由紀男	901.3	ﾄ		出版館ブッククラブ	1995	223	19	2002
	0000030481	2002/01/28	無印おまじない物語			群　ようこ	913.6	ﾑ		角川書店	1994	236	20	2002
	0000030485	2002/01/29	グリム童話のなかの怖い話			金成　陽一	943	ｸﾞ		大和書房	1996	205	20	2002
978-4-309241-85-2	0000030492	2002/11/23	クマのプーさんの哲学			ジョン・Ｔ・ウィリアムズ．著／小田島　雄志／小田島　則子．共訳	909.3	ｳ		河出書房新社	1996	253	20	2002
978-4-877192-41-9	0000030493	2002/04/30	爆笑　北欧神話　／歴史人物笑史／		歴史人物笑史	シブサワ　コウ．編	164.3	ｼ		光栄	1995	167	19	2002
978-4-877190-62-0	0000030494	2002/04/25	爆笑　ギリシア神話　２　／歴史人物笑史／			シブサワ　コウ．編	164.31	ｼ	2	光栄	1993	171	19	2002
978-4-877191-88-7	0000030495	2002/04/25	爆笑　ギリシア神話　３　／歴史人物笑史／			シブサワ　コウ．編	164.31	ｼ	3	光栄	1995	167	19	2002
978-4-480814-07-4	0000030499	2002/11/29	平成つけ句交差点			矢崎　藍	911.16	ﾔ		筑摩書房	1996	188	19	2002
	0000030504	2002/01/24	空の本		写真集	荻野　アンナ．文／東　幸央．写真	913.6	ｵ		パルコ出版	1996	60	19	2002
978-4-886025-10-4	0000030507	2002/05/30	子どもの絵からのメッセージ　／「わたし」になりたい！／			小村　チエ子	146.81	ｺ		朱鷺書房	1995	269	19	2002
	0000030510	2002/01/21	とっておきの扇子			東京イラストレーターズ・ソサエティ	727	ﾄ		光琳社出版	1996	90	11	2002
